服务器id	玩家uid	操作项目	次数	总金币
11	11534519	定向洗练	34	518
11	11534686	定向洗练	1	26
11	11563688	定向洗练	3	78
11	14685464	定向洗练	20	1036
11	14709251	定向洗练	10	140
11	14716154	定向洗练	7	182
11	14740815	定向洗练	4	224
15	15732873	定向洗练	6	910
15	15750280	定向洗练	112	3612
15	17864519	定向洗练	1	104
15	18874368	定向洗练	1	26
22	23068684	定向洗练	26	364
23	24149327	定向洗练	12	1014
23	27283470	定向洗练	8	208
23	27312457	定向洗练	2	52
23	28345332	定向洗练	11	1722
23	32531976	定向洗练	50	1414
23	34603033	定向洗练	3	78
23	34603615	定向洗练	8	208
23	34622819	定向洗练	15	234
23	34624230	定向洗练	5	70
29	33555839	定向洗练	2	28
29	33565298	定向洗练	1	104
29	33597918	定向洗练	1	14
29	33610646	定向洗练	9	702
29	37752742	定向洗练	2	208
29	37767778	定向洗练	13	182
29	37810528	定向洗练	7	98
34	38832708	定向洗练	2	28
34	40894911	定向洗练	3	626
34	40900489	定向洗练	4	104
34	40934546	定向洗练	1	26
34	44043370	定向洗练	9	234
34	44082906	定向洗练	19	392
35	36712119	定向洗练	2	52
40	12584062	定向洗练	1	26
40	31460051	定向洗练	2	52
40	41943087	定向洗练	8	546
40	41960290	定向洗练	11	616
40	41963651	定向洗练	12	168
40	41996406	定向洗练	25	966
40	42002905	定向洗练	10	140
40	51381399	定向洗练	1	26
46	48241988	定向洗练	20	742
46	48247301	定向洗练	3	312
46	48257982	定向洗练	4	104
46	48262345	定向洗练	38	988
46	48265795	定向洗练	14	1246
47	49287971	定向洗练	6	84
47	49303022	定向洗练	1	104
47	49316492	定向洗练	39	1470
47	49318219	定向洗练	15	1404
47	49343295	定向洗练	46	4480
47	52475017	定向洗练	1	26
48	50332603	定向洗练	4	224
48	50355055	定向洗练	9	234
48	53490773	定向洗练	4	92
48	53516962	定向洗练	57	4662
48	58763272	定向洗练	17	442
48	60821307	定向洗练	19	266
48	60853004	定向洗练	35	490
48	60855374	定向洗练	3	84
48	63963155	定向洗练	1	104
48	64007319	定向洗练	39	1014
48	64021216	定向洗练	1	26
55	57696513	定向洗练	6	84
57	59833114	定向洗练	1	104
57	68198200	定向洗练	37	2114
60	62916474	定向洗练	11	616
60	62952570	定向洗练	1	56
63	66060303	定向洗练	8	208
63	67112030	定向洗练	10	140
63	72352196	定向洗练	59	2422
66	71323798	定向洗练	2	52
66	71328985	定向洗练	1	390
67	70265845	定向洗练	10	560
67	70272620	定向洗练	2	28
67	70288993	定向洗练	12	168
67	80774689	定向洗练	5	82
70	73402617	定向洗练	5	130
70	73441935	定向洗练	7	182
70	79691900	定向洗练	3	42
70	79712201	定向洗练	10	140
70	79726126	定向洗练	2	52
70	82837554	定向洗练	9	936
71	74453277	定向洗练	1	56
71	90192898	定向洗练	1	26
71	105906984	定向洗练	4	56
71	105907736	定向洗练	16	434
71	105908905	定向洗练	4	224
72	75502107	定向洗练	4	56
72	75521999	定向洗练	2	40
72	75540923	定向洗练	6	156
72	75549275	定向洗练	9	126
72	75556886	定向洗练	45	672
74	77603394	定向洗练	13	182
74	81790150	定向洗练	2	28
74	81792803	定向洗练	4	104
74	81829021	定向洗练	6	468
74	84956461	定向洗练	3	78
74	84978145	定向洗练	1	14
75	85990997	定向洗练	4	104
80	83886241	定向洗练	25	672
80	83938277	定向洗练	1	26
80	83981055	定向洗练	10	140
80	83981548	定向洗练	3	78
80	83986605	定向洗练	4	56
84	88080459	定向洗练	8	1064
84	88080839	定向洗练	27	378
84	88087438	定向洗练	5	70
84	88133745	定向洗练	4	56
84	101719206	定向洗练	3	78
84	101720468	定向洗练	15	294
84	101731735	定向洗练	21	702
84	101735498	定向洗练	3	126
84	101758247	定向洗练	11	154
84	109055589	定向洗练	12	312
84	109056660	定向洗练	1	14
84	109067973	定向洗练	11	1144
84	109082701	定向洗练	756	19656
84	109108256	定向洗练	11	154
85	98610347	定向洗练	4	104
85	102813558	定向洗练	41	1066
89	93323276	定向洗练	51	1872
91	119537766	定向洗练	3	78
91	119538425	定向洗练	1	26
93	97531806	定向洗练	1	26
93	100663361	定向洗练	2	112
93	100665550	定向洗练	27	2044
93	100673460	定向洗练	2	28
93	100697709	定向洗练	1	26
93	100698852	定向洗练	9	126
93	104857661	定向洗练	26	406
93	104869249	定向洗练	1	26
93	104877008	定向洗练	1	56
95	99617301	定向洗练	2	52
95	99666108	定向洗练	5	130
95	99676051	定向洗练	31	1274
99	103809822	定向洗练	4	338
102	106954826	定向洗练	9	234
