服务器id,玩家uid,操作项目,次数,总银币
307,321912834,普通洗练,6,30000
307,321912848,普通洗练,7,21000
307,321912943,普通洗练,2,6000
307,321912953,普通洗练,27,87000
307,321913300,普通洗练,9,45000
307,321913309,普通洗练,78,352000
307,321913420,普通洗练,10,50000
307,321913479,普通洗练,12,60000
307,321913531,普通洗练,11,33000
307,321913685,普通洗练,15,45000
307,321914082,普通洗练,5,15000
307,321914379,普通洗练,30,90000
307,321916191,普通洗练,7,21000
307,321916709,普通洗练,2,10000
307,321916856,普通洗练,6,18000
307,321917113,普通洗练,2,6000
307,321917674,普通洗练,1,3000
307,321917829,普通洗练,34,102000
307,321920238,普通洗练,2,6000
307,321920339,普通洗练,21,63000
307,321921157,普通洗练,1,8000
服务器id,玩家uid,操作项目,次数,总银币
306,320864257,普通洗练,34,132600
306,320864260,普通洗练,1,10400
306,320864303,普通洗练,40,234000
306,320864304,普通洗练,1,3900
306,320864315,普通洗练,4,26000
306,320864316,普通洗练,16,104000
306,320864347,普通洗练,12,78000
306,320864362,普通洗练,28,61600
306,320864370,普通洗练,4,15600
306,320864396,普通洗练,6,23400
306,320864444,普通洗练,12,46800
306,320864452,普通洗练,17,110500
306,320864527,普通洗练,4,15600
306,320864567,普通洗练,12,124800
306,320864620,普通洗练,14,54600
306,320864761,普通洗练,108,421200
306,320864818,普通洗练,21,65700
306,320864860,普通洗练,13,70200
306,320864898,普通洗练,5,52000
306,320864980,普通洗练,12,46800
306,320865011,普通洗练,16,62400
306,320865013,普通洗练,12,78000
306,320865199,普通洗练,17,66300
306,320865249,普通洗练,49,171500
306,320865284,普通洗练,4,15600
306,320865331,普通洗练,7,45500
306,320865397,普通洗练,33,128700
306,320865483,普通洗练,6,23400
306,320865673,普通洗练,8,18600
306,320865716,普通洗练,3,11700
306,320865720,普通洗练,2,13000
306,320865735,普通洗练,15,58500
306,320865858,普通洗练,12,54600
306,320866321,普通洗练,8,31200
306,320866333,普通洗练,5,19500
306,320866517,普通洗练,2,13000
306,320866552,普通洗练,43,232700
306,320866633,普通洗练,7,27300
306,320866792,普通洗练,36,156000
306,320866982,普通洗练,12,46800
306,320867014,普通洗练,3,11700
306,320867067,普通洗练,1,6500
306,320867300,普通洗练,9,58500
306,320867336,普通洗练,10,39000
306,320867343,普通洗练,45,115500
306,320867409,普通洗练,5,19500
306,320867597,普通洗练,13,50700
306,320867608,普通洗练,2,7800
306,320867618,普通洗练,7,27300
306,320867657,普通洗练,2,7800
306,320867685,普通洗练,30,117000
306,320868535,普通洗练,2,10400
306,320868818,普通洗练,7,27300
306,320868865,普通洗练,3,19500
306,320868868,普通洗练,22,85800
306,320869075,普通洗练,1,3900
306,320869321,普通洗练,5,19500
306,320869409,普通洗练,10,44200
306,320869411,普通洗练,23,89700
306,320869652,普通洗练,7,45500
306,320869664,普通洗练,15,58500
306,320869723,普通洗练,15,58500
306,320869880,普通洗练,56,218400
306,320870471,普通洗练,14,54600
306,320870524,普通洗练,32,124800
306,320870525,普通洗练,8,31200
306,320871112,普通洗练,15,58500
306,320871176,普通洗练,1,3900
306,320871195,普通洗练,1,10400
306,320871530,普通洗练,3,11700
306,320871554,普通洗练,5,19500
306,320871642,普通洗练,12,46800
306,320872918,普通洗练,15,58500
306,320872961,普通洗练,23,89700
306,320873080,普通洗练,5,19500
306,320873202,普通洗练,8,31200
306,320873237,普通洗练,21,81900
306,320873716,普通洗练,8,31200
306,320873802,普通洗练,1,3900
306,320874023,普通洗练,16,166400
306,320874063,普通洗练,8,31200
306,320874191,普通洗练,6,23400
306,320874603,普通洗练,11,42900
306,320874637,普通洗练,2,7800
306,320875162,普通洗练,2,7800
306,320875306,普通洗练,5,19500
306,320875545,普通洗练,3,14300
306,320876023,普通洗练,3,11700
306,320876093,普通洗练,102,397800
306,320877315,普通洗练,6,23400
306,320877567,普通洗练,3,11700
306,320877659,普通洗练,11,42900
306,320878305,普通洗练,3,11700
306,320878596,普通洗练,25,97500
306,320878983,普通洗练,8,31200
306,320879392,普通洗练,17,66300
306,320880062,普通洗练,12,46800
306,320880083,普通洗练,5,19500
306,320880638,普通洗练,5,19500
306,320880648,普通洗练,6,23400
306,320880888,普通洗练,1,3900
306,320881043,普通洗练,20,78000
306,320881232,普通洗练,12,25200
306,320882047,普通洗练,5,19500
306,320882319,普通洗练,10,39000
306,320882731,普通洗练,20,78000
306,320882772,普通洗练,1,3900
306,320883249,普通洗练,1,3900
306,320883657,普通洗练,16,62400
306,320883700,普通洗练,4,15600
306,320883719,普通洗练,1,3900
306,320883735,普通洗练,41,159900
306,320884051,普通洗练,7,72800
306,320884609,普通洗练,1,2100
306,320884645,普通洗练,19,74100
306,320884826,普通洗练,4,15600
306,320884891,普通洗练,38,148200
306,320885179,普通洗练,4,15600
306,320885234,普通洗练,7,27300
306,320885696,普通洗练,5,19500
306,320885715,普通洗练,21,89700
306,320885943,普通洗练,1,6500
306,320885996,普通洗练,6,12600
306,320886134,普通洗练,11,42900
306,320886260,普通洗练,1,3900
306,320886439,普通洗练,3,11700
306,320886540,普通洗练,10,39000
306,320886984,普通洗练,3,11700
306,320887481,普通洗练,11,42900
306,320887905,普通洗练,3,11700
306,320888094,普通洗练,23,89700
306,320888380,普通洗练,5,19500
306,320888684,普通洗练,6,23400
306,320888914,普通洗练,9,35100
306,320889233,普通洗练,11,42900
306,320889575,普通洗练,2,4200
306,320890104,普通洗练,1,3900
306,320890566,普通洗练,5,19500
306,320890583,普通洗练,3,14300
306,320891159,普通洗练,14,54600
306,320891501,普通洗练,22,85800
306,320892076,普通洗练,12,46800
306,320892564,普通洗练,12,46800
306,320892949,普通洗练,5,19500
306,320892993,普通洗练,24,93600
306,320893208,普通洗练,66,257400
306,320894012,普通洗练,5,10500
306,320894215,普通洗练,12,46800
306,320894220,普通洗练,7,27300
306,320894672,普通洗练,51,198900
306,320895008,普通洗练,2,7800
306,320895052,普通洗练,15,97500
306,320895060,普通洗练,18,70200
306,320895118,普通洗练,3,11700
服务器id,玩家uid,操作项目,次数,总银币
305,319815681,普通洗练,46,151200
305,319815683,普通洗练,5,52000
305,319815684,普通洗练,48,273600
305,319815686,普通洗练,15,117000
305,319815699,普通洗练,2,7800
305,319815713,普通洗练,7,45500
305,319815731,普通洗练,8,83200
305,319815732,普通洗练,1,6500
305,319815795,普通洗练,12,46800
305,319815915,普通洗练,9,35100
305,319816014,普通洗练,11,23100
305,319816137,普通洗练,22,85800
305,319816148,普通洗练,24,156000
305,319816206,普通洗练,30,130800
305,319816223,普通洗练,4,15600
305,319816535,普通洗练,3,11700
305,319816899,普通洗练,2,7800
305,319817493,普通洗练,4,26000
305,319817536,普通洗练,3,19500
305,319818600,普通洗练,4,18200
305,319819581,普通洗练,13,50700
305,319819745,普通洗练,2,7800
305,319819888,普通洗练,14,54600
305,319820018,普通洗练,24,118300
305,319820677,普通洗练,49,191100
